@CO	shape:(13100, 6)
@CO	dtype:float64
VALUE_0	VALUE_1	VALUE_2	VALUE_3	VALUE_4	VALUE_5
0.6115147688560616	0.6230491303287917	0.518736540345564	0.5704259777968723	0.580935163445905	0.569480064037451
0.3690738061530221	0.39813612488990535	0.38108815182973643	0.45672107307627563	0.28625973329346927	0.24226846078239034
0.18337589336887714	0.18124668270570687	0.2634695532991208	0.23713199663380413	0.0928705494989868	0.08176201317043362
0.29655331930870577	0.35274609057941886	0.4051802255988809	0.3958558224868454	0.22564279234239926	0.18584892320382124
0.23651385563016464	0.24158173032504554	0.3012965983196361	0.3382636244515248	0.1729801812896619	0.16773069332596163
0.21619226966800967	0.2603745626981225	0.3908463490295818	0.33825765266139274	0.14558867634784148	0.12632873879148546
0.3902149840967453	0.42793553196437073	0.41964455494322006	0.4143629824799951	0.28502168614391354	0.2210163023642352
0.3799189912205946	0.4540956152803258	0.44222235400171783	0.43971604775218315	0.28701456899630434	0.23047972524749402
0.7988781696138113	0.6749540686645905	0.6046654813106327	0.6608230080503279	0.9286399455256159	0.8593882459026916
0.3173274002408516	0.33280266384583956	0.42162086009241884	0.3795113017619461	0.2101345989151329	0.18071721163322363
0.3068962170044964	0.3104197750587751	0.4122314552055589	0.4103007537080125	0.221892613493125	0.17076971549882164
0.28314266980510233	0.33497945737787005	0.41032268192366683	0.36058403147193807	0.1690085154420347	0.1614168920493457
0.27088461084340276	0.2766601496358542	0.30154686698216837	0.34713968322964117	0.16369406737613496	0.16514133334694875
0.25561134283303666	0.30007199481232644	0.3390994591592414	0.3557486650126891	0.18989465058489832	0.14612136137516782
0.2125627993950182	0.24609914925315968	0.30481873695683753	0.30805982356524836	0.12973954411858601	0.12398320697295785
0.29712262191118466	0.24745476675679443	0.3315068892364753	0.3350304492041945	0.17202493144893813	0.17349488488590545
0.295437795226427	0.2434526560093633	0.3114579439037175	0.31573390818239305	0.16449614908544616	0.12252547314379568
0.25523615359055685	0.301653801740302	0.32957758211724564	0.34366082473250065	0.16784832460096888	0.15110646340075048
0.33274251625218254	0.3299495332032096	0.38979541794162875	0.3836862354326014	0.20182177767542334	0.1851346841501334
0.23416805530046908	0.2935549570352586	0.31839020425009923	0.3655050170066056	0.15824592206641552	0.15546572608860246
0.16831019302944822	0.17263345225629712	0.24944233439008226	0.22592929571175016	0.09724350994787506	0.09821040442428912
0.2496948304883394	0.26229962366559034	0.31492769953054306	0.31193711979369965	0.13470314532803096	0.1403042690591562
0.21184580586693777	0.2387350463453843	0.28593702407433896	0.3145752413429037	0.12213271913227987	0.11830084327117206
0.29060064453017986	0.2965202177891364	0.32016456014881883	0.3701362870573406	0.17123992534243807	0.1766315766745205
0.2807981357544276	0.31448906420905715	0.3653645353707341	0.38506506419401737	0.20076706645803521	0.1612432015841845
0.32665154151568215	0.3730128105138421	0.36629440385455225	0.42581354103710634	0.21244791962910553	0.19127712938165828
0.2784259341269292	0.33327468874981986	0.3873939738298872	0.3580836902755632	0.19725224639760164	0.17583787659350678
0.22063535744780155	0.2370319818960874	0.31104528868276027	0.31379530493156216	0.14474497565908062	0.1344101926348297
0.36760378303769065	0.40775064602002187	0.41381850802259007	0.3957877757078597	0.23404408490786832	0.20818399304489255
0.4474270016941002	0.43861149856703574	0.5007405169718951	0.4057732685055105	0.2863835074076467	0.25138153495952203
0.2608672229179245	0.3012702474738216	0.3403857465305159	0.3495381411680748	0.17573151830123385	0.1572307500074722
0.3122605092453463	0.2913041748652949	0.32216788837086197	0.4109253426858512	0.17668919558718865	0.18356371075977668
0.2547484861368942	0.26139776417292837	0.3048494799171325	0.30531091444610703	0.15703954267746711	0.14146155952644368
0.3373821722633759	0.3103947465706442	0.3920444465775573	0.38035759998429974	0.20657877276414296	0.17639372186272617
0.45242958406519673	0.47221410059682173	0.5270082043021501	0.4610966074934756	0.29885682997704055	0.2745953835849269
